秒换台465.94,#genre#
中国教育,http://124.231.213.254:9999/tsfile/live/1100_1.m3u8
劲爆体育,http://124.231.213.254:9999/tsfile/live/1113_1.m3u8
卡酷少儿,http://124.231.213.254:9999/tsfile/live/1104_1.m3u8
娄底公共,http://124.231.213.254:9999/tsfile/live/1089_1.m3u8
娄底教育,http://124.231.213.254:9999/tsfile/live/1090_1.m3u8
秒换台695.53,#genre#
CCTV1,http://183.0.200.202:9901/tsfile/live/1027_1.m3u8
CCTV1,http://183.0.200.202:9901/tsfile/live/0001_1.m3u8
CCTV2,http://183.0.200.202:9901/tsfile/live/0002_2.m3u8
CCTV2,http://183.0.200.202:9901/tsfile/live/0002_1.m3u8
CCTV3,http://183.0.200.202:9901/tsfile/live/0003_2.m3u8
CCTV3,http://183.0.200.202:9901/tsfile/live/0003_1.m3u8
CCTV4,http://183.0.200.202:9901/tsfile/live/0004_1.m3u8
CCTV5,http://183.0.200.202:9901/tsfile/live/0005_3.m3u8
CCTV5,http://183.0.200.202:9901/tsfile/live/0005_2.m3u8
CCTV5,http://183.0.200.202:9901/tsfile/live/0005_1.m3u8
CCTV6,http://183.0.200.202:9901/tsfile/live/0006_2.m3u8
CCTV6,http://183.0.200.202:9901/tsfile/live/0006_1.m3u8
CCTV7,http://183.0.200.202:9901/tsfile/live/0007_2.m3u8
CCTV7,http://183.0.200.202:9901/tsfile/live/0007_1.m3u8
CCTV8,http://183.0.200.202:9901/tsfile/live/0008_2.m3u8
CCTV8,http://183.0.200.202:9901/tsfile/live/0008_1.m3u8
CCTV9,http://183.0.200.202:9901/tsfile/live/0009_2.m3u8
CCTV9,http://183.0.200.202:9901/tsfile/live/0009_1.m3u8
CCTV10,http://183.0.200.202:9901/tsfile/live/0010_2.m3u8
CCTV10,http://183.0.200.202:9901/tsfile/live/0010_1.m3u8
CCTV11,http://183.0.200.202:9901/tsfile/live/0011_1.m3u8
CCTV12,http://183.0.200.202:9901/tsfile/live/0012_2.m3u8
CCTV12,http://183.0.200.202:9901/tsfile/live/0012_1.m3u8
CCTV13,http://183.0.200.202:9901/tsfile/live/0013_1.m3u8
CCTV14,http://183.0.200.202:9901/tsfile/live/0014_2.m3u8
CCTV14,http://183.0.200.202:9901/tsfile/live/0014_1.m3u8
CCTV15,http://183.0.200.202:9901/tsfile/live/0015_1.m3u8
CCTV17,http://183.0.200.202:9901/tsfile/live/0019_1.m3u8
北京卫视,http://183.0.200.202:9901/tsfile/live/1043_1.m3u8
北京卫视,http://183.0.200.202:9901/tsfile/live/0122_1.m3u8
吉林卫视,http://183.0.200.202:9901/tsfile/live/0116_1.m3u8
东南卫视,http://183.0.200.202:9901/tsfile/live/0137_1.m3u8
天津卫视,http://183.0.200.202:9901/tsfile/live/0135_1.m3u8
四川卫视,http://183.0.200.202:9901/tsfile/live/1050_1.m3u8
四川卫视,http://183.0.200.202:9901/tsfile/live/0123_1.m3u8
云南卫视,http://183.0.200.202:9901/tsfile/live/0119_1.m3u8
兵团卫视,http://183.0.200.202:9901/tsfile/live/0115_1.m3u8
内蒙古卫视,http://183.0.200.202:9901/tsfile/live/0109_1.m3u8
CETV1,http://183.0.200.202:9901/tsfile/live/1020_1.m3u8
CETV2,http://183.0.200.202:9901/tsfile/live/1081_1.m3u8
CETV4,http://183.0.200.202:9901/tsfile/live/1082_1.m3u8
IPTV5+,http://183.0.200.202:9901/tsfile/live/1040_1.m3u8
cctn,http://183.0.200.202:9901/tsfile/live/1013_1.m3u8
test2,http://183.0.200.202:9901/tsfile/live/1028_1.m3u8
上海卫视,http://183.0.200.202:9901/tsfile/live/1047_1.m3u8
上海卫视,http://183.0.200.202:9901/tsfile/live/0107_1.m3u8
佳嘉卡通,http://183.0.200.202:9901/tsfile/live/1093_1.m3u8
凤凰中文,http://183.0.200.202:9901/tsfile/live/1003_1.m3u8
凤凰资讯,http://183.0.200.202:9901/tsfile/live/1014_1.m3u8
动作电影,http://183.0.200.202:9901/tsfile/live/1004_1.m3u8
南方卫视,http://183.0.200.202:9901/tsfile/live/1090_1.m3u8
南方购物,http://183.0.200.202:9901/tsfile/live/1095_1.m3u8
卡酷少儿,http://183.0.200.202:9901/tsfile/live/1017_1.m3u8
厦门卫视,http://183.0.200.202:9901/tsfile/live/0129_1.m3u8
哈哈炫动,http://183.0.200.202:9901/tsfile/live/1019_1.m3u8
国学,http://183.0.200.202:9901/tsfile/live/1079_1.m3u8
秒换台1441.53,#genre#
CCTV17,http://223.151.51.74:9901/tsfile/live/1001_1.m3u8
北京卫视,http://223.151.51.74:9901/tsfile/live/0122_1.m3u8
天津卫视,http://223.151.51.74:9901/tsfile/live/0125_1.m3u8
上海卫视,http://223.151.51.74:9901/tsfile/live/0107_1.m3u8
秒换台664.39,#genre#
CHC家庭影院,http://182.46.196.158:9901/tsfile/live/1010_1.m3u8
CCTV1,http://182.46.196.158:9901/tsfile/live/0001_1.m3u8
CCTV2,http://182.46.196.158:9901/tsfile/live/0002_1.m3u8
CCTV3,http://182.46.196.158:9901/tsfile/live/0003_1.m3u8
CCTV4,http://182.46.196.158:9901/tsfile/live/0004_1.m3u8
CCTV5,http://182.46.196.158:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://182.46.196.158:9901/tsfile/live/1000_1.m3u8
CCTV6,http://182.46.196.158:9901/tsfile/live/0006_1.m3u8
CCTV7,http://182.46.196.158:9901/tsfile/live/0007_1.m3u8
CCTV8,http://182.46.196.158:9901/tsfile/live/0008_1.m3u8
CCTV9,http://182.46.196.158:9901/tsfile/live/0009_1.m3u8
CCTV10,http://182.46.196.158:9901/tsfile/live/0010_1.m3u8
CCTV11,http://182.46.196.158:9901/tsfile/live/0012_1.m3u8
CCTV12,http://182.46.196.158:9901/tsfile/live/0012_2.m3u8
CCTV13,http://182.46.196.158:9901/tsfile/live/0014_1.m3u8
CCTV14,http://182.46.196.158:9901/tsfile/live/0015_1.m3u8
CCTV15,http://182.46.196.158:9901/tsfile/live/0015_2.m3u8
CCTV17,http://182.46.196.158:9901/tsfile/live/0019_1.m3u8
天津卫视,http://182.46.196.158:9901/tsfile/live/0135_1.m3u8
秒换台474.59,#genre#
CHC动作电影,http://59.32.97.159:9901/tsfile/live/1029_1.m3u8
CHC家庭影院,http://59.32.97.159:9901/tsfile/live/1028_1.m3u8
CHC电影,http://59.32.97.159:9901/tsfile/live/1030_1.m3u8
CCTV1,http://59.32.97.159:9901/tsfile/live/1005_1.m3u8
CCTV2,http://59.32.97.159:9901/tsfile/live/1006_1.m3u8
CCTV3,http://59.32.97.159:9901/tsfile/live/1040_1.m3u8
CCTV4,http://59.32.97.159:9901/tsfile/live/1041_1.m3u8
CCTV5,http://59.32.97.159:9901/tsfile/live/1042_1.m3u8
CCTV5+,http://59.32.97.159:9901/tsfile/live/1043_1.m3u8
CCTV6,http://59.32.97.159:9901/tsfile/live/1044_1.m3u8
CCTV7,http://59.32.97.159:9901/tsfile/live/1045_1.m3u8
CCTV8,http://59.32.97.159:9901/tsfile/live/1046_1.m3u8
CCTV9,http://59.32.97.159:9901/tsfile/live/1047_1.m3u8
CCTV10,http://59.32.97.159:9901/tsfile/live/1048_1.m3u8
CCTV11,http://59.32.97.159:9901/tsfile/live/1049_1.m3u8
CCTV12,http://59.32.97.159:9901/tsfile/live/1050_1.m3u8
CCTV13,http://59.32.97.159:9901/tsfile/live/1004_1.m3u8
CCTV14,http://59.32.97.159:9901/tsfile/live/1051_1.m3u8
CCTV15,http://59.32.97.159:9901/tsfile/live/1102_1.m3u8
CCTV16,http://59.32.97.159:9901/tsfile/live/1087_1.m3u8
CCTV17,http://59.32.97.159:9901/tsfile/live/1052_1.m3u8
北京卫视,http://59.32.97.159:9901/tsfile/live/1058_1.m3u8
东南卫视,http://59.32.97.159:9901/tsfile/live/1069_1.m3u8
天津卫视,http://59.32.97.159:9901/tsfile/live/1054_1.m3u8
四川卫视,http://59.32.97.159:9901/tsfile/live/1063_1.m3u8
兵团卫视,http://59.32.97.159:9901/tsfile/live/1077_1.m3u8
CCTN,http://59.32.97.159:9901/tsfile/live/1053_1.m3u8
上海卫视,http://59.32.97.159:9901/tsfile/live/1071_1.m3u8
中国天气,http://59.32.97.159:9901/tsfile/live/1088_1.m3u8
丰顺综合,http://59.32.97.159:9901/tsfile/live/1020_1.m3u8
五华1,http://59.32.97.159:9901/tsfile/live/1007_1.m3u8
佳嘉卡通,http://59.32.97.159:9901/tsfile/live/1100_1.m3u8
冬奧纪实,http://59.32.97.159:9901/tsfile/live/1082_1.m3u8
凤凰卫视,http://59.32.97.159:9901/tsfile/live/1106_1.m3u8
动漫秀场,http://59.32.97.159:9901/tsfile/live/1037_1.m3u8
